,NIP,Cl_Parcours1,Cl_T1,X_abscisse
691,N201805132,0.0,0.0,11.064718162839227
739,N201805658,0.0,0.0,11.169102296450918
582,N201803145,0.0,0.0,11.273486430062608
501,N201800916,0.0,0.0,11.377870563674298
412,N201702572,0.0,0.0,11.482254697285988
5,N198502208,0.0,0.0,11.586638830897678
418,N201702804,0.0,0.0,11.691022964509369
86,N200504430,0.0,0.0,11.795407098121059
344,N201602132,0.0,0.0,11.899791231732749
756,N201805884,0.0,0.0,12.00417536534444
136,N200903897,0.0,0.0,12.10855949895613
611,N201803775,0.0,0.0,12.21294363256782
779,N201806185,0.0,0.0,12.31732776617951
675,N201804923,0.0,0.0,12.4217118997912
87,N200504495,0.0,0.0,12.52609603340289
595,N201803452,0.0,0.0,12.63048016701458
544,N201802263,0.0,0.0,12.73486430062627
610,N201803770,0.0,0.0,12.83924843423796
142,N200904972,0.0,0.0,12.94363256784965
560,N201802598,0.0,0.0,13.048016701461341
220,N201305580,0.0,0.0,13.152400835073031
687,N201805109,0.0,0.0,13.256784968684721
548,N201802324,0.0,0.0,13.361169102296412
718,N201805381,0.0,0.0,13.465553235908102
459,N201706141,0.0,0.0,13.569937369519792
313,N201505285,0.0,0.0,13.674321503131482
405,N201702058,0.0,0.0,13.778705636743172
320,N201506798,0.0,0.0,13.883089770354863
643,N201804406,0.0,0.0,13.987473903966553
644,N201804420,0.0,0.0,14.091858037578243
770,N201806061,0.0,0.0,14.196242171189933
559,N201802542,0.0,0.0,14.300626304801623
17,N198901701,0.0,0.0,14.405010438413314
570,N201802854,0.0,0.0,14.509394572025004
588,N201803347,0.0,0.0,14.613778705636694
411,N201702513,0.0,0.0,14.718162839248384
68,N200302052,0.0,0.0,14.822546972860074
145,N200906515,0.0,0.0,14.926931106471764
232,N201308004,0.0,0.0,15.031315240083455
593,N201803436,0.0,0.0,15.135699373695145
190,N201203856,0.0,0.0,15.240083507306835
376,N201606026,0.0,0.0,15.344467640918525
652,N201804581,0.0,0.0,15.448851774530215
798,N201806365,0.0,0.0,15.553235908141906
706,N201805284,0.0,0.0,15.657620041753596
714,N201805332,0.0,0.0,15.762004175365286
663,N201804738,0.0,0.0,15.866388308976976
427,N201703607,0.0,0.0,15.970772442588666
21,N199006074,0.0,0.0,16.075156576200357
199,N201206329,0.0,0.0,16.17954070981205
244,N201402450,0.0,0.0,16.28392484342374
124,N200805703,0.0,0.0,16.388308977035432
135,N200903854,0.0,0.0,16.492693110647124
859,N201806804,0.0,0.0,16.597077244258816
776,N201806159,0.0,0.0,16.70146137787051
799,N201806370,0.0,0.0,16.8058455114822
824,N201806548,0.0,0.0,16.910229645093892
795,N201806343,0.0,0.0,17.014613778705584
286,N201501838,0.0,0.0,17.118997912317276
203,N201300990,0.0,0.0,17.223382045928968
854,N201806767,0.0,0.0,17.32776617954066
417,N201702758,0.0,0.0,17.432150313152352
399,N201701403,0.0,0.0,17.536534446764044
923,N201900007,0.0,0.0,17.640918580375736
622,N201804032,0.0,1.0,17.745302713987428
628,N201804171,0.0,1.0,17.84968684759912
616,N201803826,0.0,1.0,17.954070981210812
630,N201804221,0.0,1.0,18.058455114822504
651,N201804570,0.0,1.0,18.162839248434196
648,N201804530,0.0,1.0,18.267223382045888
654,N201804618,0.0,1.0,18.37160751565758
631,N201804223,0.0,1.0,18.47599164926927
661,N201804697,0.0,1.0,18.580375782880964
676,N201804955,0.0,1.0,18.684759916492656
678,N201804959,0.0,1.0,18.789144050104348
686,N201805108,0.0,1.0,18.89352818371604
141,N200904705,0.0,1.0,18.99791231732773
688,N201805111,0.0,1.0,19.102296450939424
636,N201804352,0.0,1.0,19.206680584551115
635,N201804329,0.0,1.0,19.311064718162807
134,N200903761,0.0,1.0,19.4154488517745
638,N201804362,0.0,1.0,19.51983298538619
645,N201804428,0.0,1.0,19.624217118997883
680,N201805045,0.0,1.0,19.728601252609575
657,N201804651,0.0,1.0,19.832985386221267
690,N201805127,0.0,1.0,19.93736951983296
702,N201805251,0.0,1.0,20.04175365344465
695,N201805168,0.0,1.0,20.146137787056343
655,N201804632,0.0,1.0,20.250521920668035
684,N201805100,0.0,1.0,20.354906054279727
701,N201805250,0.0,1.0,20.45929018789142
712,N201805313,0.0,1.0,20.56367432150311
367,N201604865,0.0,1.0,20.668058455114803
649,N201804565,0.0,1.0,20.772442588726495
694,N201805167,0.0,1.0,20.876826722338187
711,N201805305,0.0,1.0,20.98121085594988
728,N201805524,0.0,1.0,21.08559498956157
668,N201804813,0.0,1.0,21.189979123173263
710,N201805304,0.0,1.0,21.294363256784955
625,N201804110,0.0,1.0,21.398747390396647
