,NIP,Cl_Parcours1,Cl_T1,X_abscisse
785,N201806271,0.0,0.0,5.114822546972862
924,N201900008,0.0,0.0,5.219206680584553
787,N201806285,0.0,0.0,5.323590814196244
251,N201403653,0.0,0.0,5.427974947807935
952,N201900039,0.0,0.0,5.532359081419626
794,N201806338,0.0,0.0,5.636743215031317
822,N201806528,0.0,0.0,5.741127348643008
891,N201807140,0.0,0.0,5.845511482254699
899,N201807231,0.0,0.0,5.9498956158663905
178,N201201727,0.0,0.0,6.054279749478082
945,N201900030,0.0,0.0,6.158663883089773
903,N201807295,0.0,0.0,6.263048016701464
115,N200802103,0.0,0.0,6.367432150313155
55,N200102831,0.0,0.0,6.471816283924846
101,N200605727,0.0,0.0,6.576200417536537
109,N200704779,0.0,0.0,6.680584551148228
131,N200902975,0.0,0.0,6.784968684759919
149,N201002853,0.0,0.0,6.88935281837161
155,N201006713,0.0,0.0,6.993736951983301
181,N201201971,0.0,0.0,7.098121085594992
270,N201406560,0.0,0.0,7.202505219206683
323,N201507158,0.0,0.0,7.3068893528183745
465,N201706455,0.0,0.0,7.411273486430066
917,N201900001,0.0,0.0,7.515657620041757
919,N201900003,0.0,0.0,7.620041753653448
921,N201900005,0.0,0.0,7.724425887265139
925,N201900009,0.0,0.0,7.82881002087683
926,N201900010,0.0,0.0,7.933194154488521
928,N201900012,0.0,0.0,8.037578288100212
934,N201900018,0.0,0.0,8.141962421711902
943,N201900028,0.0,0.0,8.246346555323592
946,N201900032,0.0,0.0,8.350730688935283
947,N201900033,0.0,0.0,8.455114822546973
948,N201900034,0.0,0.0,8.559498956158663
950,N201900037,0.0,0.0,8.663883089770353
622,N201804032,0.0,1.0,8.768267223382043
627,N201804153,0.0,1.0,8.872651356993734
616,N201803826,0.0,1.0,8.977035490605424
686,N201805108,0.0,1.0,9.081419624217114
141,N200904705,0.0,1.0,9.185803757828804
636,N201804352,0.0,1.0,9.290187891440494
134,N200903761,0.0,1.0,9.394572025052184
680,N201805045,0.0,1.0,9.498956158663875
712,N201805313,0.0,1.0,9.603340292275565
703,N201805255,0.0,1.0,9.707724425887255
694,N201805167,0.0,1.0,9.812108559498945
711,N201805305,0.0,1.0,9.916492693110635
625,N201804110,0.0,1.0,10.020876826722326
748,N201805782,0.0,1.0,10.125260960334016
764,N201805966,0.0,1.0,10.229645093945706
40,N199704298,0.0,1.0,10.334029227557396
7,N198510292,0.0,1.0,10.438413361169086
0,N198300511,0.0,1.0,10.542797494780777
689,N201805117,0.0,1.0,10.647181628392467
626,N201804119,0.0,1.0,10.751565762004157
758,N201805928,0.0,1.0,10.855949895615847
730,N201805561,0.0,1.0,10.960334029227537
740,N201805693,0.0,1.0,11.064718162839227
634,N201804328,0.0,1.0,11.169102296450918
225,N201306174,0.0,1.0,11.273486430062608
65,N200301118,0.0,1.0,11.377870563674298
122,N200804671,0.0,1.0,11.482254697285988
783,N201806254,0.0,1.0,11.586638830897678
19,N198902913,0.0,1.0,11.691022964509369
906,N201807347,0.0,1.0,11.795407098121059
939,N201900023,0.0,1.0,11.899791231732749
797,N201806349,0.0,1.0,12.00417536534444
71,N200303315,0.0,1.0,12.10855949895613
874,N201807015,0.0,1.0,12.21294363256782
467,N201706490,0.0,1.0,12.31732776617951
866,N201806895,0.0,1.0,12.4217118997912
848,N201806718,0.0,1.0,12.52609603340289
910,N201807407,0.0,1.0,12.63048016701458
144,N200905749,0.0,1.0,12.73486430062627
637,N201804353,0.0,1.0,12.83924843423796
182,N201202367,0.0,1.0,12.94363256784965
192,N201204874,0.0,1.0,13.048016701461341
933,N201900017,0.0,1.0,13.152400835073031
168,N201105723,0.0,1.0,13.256784968684721
679,N201804973,0.0,1.0,13.361169102296412
892,N201807157,0.0,1.0,13.465553235908102
49,N200000242,0.0,1.0,13.569937369519792
11,N198601213,0.0,1.0,13.674321503131482
29,N199402356,0.0,1.0,13.778705636743172
39,N199703916,0.0,1.0,13.883089770354863
955,N201900042,0.0,1.0,13.987473903966553
138,N200904254,0.0,1.0,14.091858037578243
154,N201006229,0.0,1.0,14.196242171189933
