,NIP,Cl_P1
758,N201102764,1
759,N201102814,1
760,N201102948,3
761,N201103014,1
762,N201103040,1
763,N201103108,1
764,N201103176,1
765,N201103278,1
766,N201103283,1
767,N201103512,1
768,N201103602,1
769,N201103680,1
770,N201103955,1
771,N201103989,3
772,N201104004,1
773,N201104041,1
774,N201104055,1
775,N201104079,1
776,N201104136,1
777,N201104285,1
778,N201104736,1
779,N201104866,1
780,N201104936,1
781,N201105065,1
782,N201105089,1
783,N201105114,1
784,N201105263,3
785,N201105374,1
786,N201105404,1
787,N201105513,1
788,N201105589,1
789,N201105651,1
790,N201105723,1
791,N201105767,1
792,N201105833,1
793,N201105874,1
794,N201105926,1
795,N201105935,1
796,N201106032,1
797,N201106067,1
798,N201106208,3
799,N201106308,1
800,N201106355,1
801,N201106437,1
802,N201106594,1
803,N201106645,3
804,N201106657,1
805,N201106666,1
806,N201106711,1
807,N201106775,3
808,N201106871,1
809,N201106910,1
810,N201200116,3
811,N201200277,1
812,N201200301,0
813,N201200471,1
814,N201200502,3
815,N201200517,1
816,N201200605,1
817,N201200611,1
818,N201200692,1
819,N201200769,1
820,N201200833,3
821,N201200921,1
822,N201201037,3
823,N201201178,1
824,N201201323,1
825,N201201347,1
826,N201201389,3
827,N201201404,1
828,N201201439,1
829,N201201519,1
830,N201201591,1
831,N201201622,1
832,N201201727,1
833,N201201762,0
834,N201201829,3
835,N201201911,3
836,N201201963,1
837,N201201971,1
838,N201201997,1
839,N201202044,1
840,N201202215,1
841,N201202364,1
842,N201202367,3
843,N201202503,1
844,N201202658,0
845,N201202712,1
846,N201202717,1
847,N201202902,1
848,N201202930,0
849,N201203059,0
850,N201203081,1
851,N201203090,1
852,N201203100,0
853,N201203105,1
854,N201203117,1
855,N201203201,3
856,N201203346,1
857,N201203378,3
858,N201203444,1
859,N201203465,1
860,N201203577,1
861,N201203582,3
862,N201203602,1
863,N201203626,1
864,N201203641,1
865,N201203646,1
866,N201203657,1
867,N201203710,1
868,N201203718,3
869,N201203856,1
870,N201204001,1
871,N201204042,1
872,N201204133,1
873,N201204250,1
874,N201204395,1
875,N201204450,1
876,N201204504,0
877,N201204512,1
878,N201204544,1
879,N201204788,1
880,N201204825,1
881,N201204868,3
882,N201204874,3
883,N201204984,0
884,N201205033,1
885,N201205054,1
886,N201205073,1
887,N201205120,1
888,N201205139,1
889,N201205149,3
890,N201205353,3
891,N201205367,1
892,N201205438,1
893,N201205446,1
894,N201205470,1
895,N201205471,1
896,N201205511,1
897,N201205547,3
898,N201205552,1
899,N201205659,1
900,N201205688,1
901,N201205845,1
902,N201205846,1
903,N201205940,1
904,N201206169,1
905,N201206228,1
906,N201206329,3
