,NIP,Cl_P
519,N201701652,3
520,N201701834,1
521,N201702058,2
522,N201702085,2
523,N201702120,0
524,N201702132,1
525,N201702326,0
526,N201702363,0
527,N201702444,1
528,N201702503,1
529,N201702512,2
530,N201702513,2
531,N201702572,2
532,N201702618,1
533,N201702643,2
534,N201702654,2
535,N201702665,0
536,N201702738,2
537,N201702758,2
538,N201702804,2
539,N201702891,3
540,N201702935,2
541,N201703039,0
542,N201703055,1
543,N201703309,0
544,N201703312,3
545,N201703467,3
546,N201703472,3
547,N201703505,1
548,N201703570,0
549,N201703575,1
550,N201703607,2
551,N201703625,0
552,N201703646,1
553,N201703729,0
554,N201703896,0
555,N201703918,2
556,N201704012,1
557,N201704034,1
558,N201704130,1
559,N201704212,0
560,N201704292,2
561,N201704386,0
562,N201704390,2
563,N201704399,0
564,N201704429,2
565,N201704556,1
566,N201704660,2
567,N201704685,1
568,N201704797,2
569,N201704922,2
570,N201704974,2
571,N201705029,0
572,N201705121,2
573,N201705133,1
574,N201705136,3
575,N201705137,2
576,N201705163,1
577,N201705187,2
578,N201705314,2
579,N201705382,2
580,N201705402,2
581,N201705404,0
582,N201705441,2
583,N201705492,2
584,N201705512,0
585,N201705552,2
586,N201705576,2
587,N201705657,1
588,N201705694,2
589,N201705786,0
590,N201705845,2
591,N201705896,2
592,N201705921,1
593,N201705940,2
594,N201706024,2
595,N201706031,2
596,N201706044,0
597,N201706065,2
598,N201706115,0
599,N201706141,2
600,N201706142,1
601,N201706192,2
602,N201706241,0
603,N201706265,0
604,N201706288,2
605,N201706437,2
606,N201706455,0
607,N201706483,1
608,N201706490,2
609,N201706511,1
610,N201706598,2
611,N201706657,0
612,N201706717,2
613,N201706727,1
614,N201706728,1
615,N201706805,0
616,N201706823,2
617,N201706868,2
618,N201706937,2
619,N201706982,0
620,N201706998,0
621,N201707031,2
622,N201707096,3
623,N201707102,1
624,N201707185,2
625,N201707219,1
626,N201707224,1
627,N201707227,2
628,N201800012,1
629,N201800036,1
630,N201800045,2
631,N201800053,0
632,N201800055,2
633,N201800109,2
634,N201800152,2
635,N201800199,1
636,N201800369,2
637,N201800411,2
